Va va vis,Florina,neutral,https://www.youtube.com/watch?v=_TIPjyLFUBY,
Memories,Maroon 5,neutral,https://www.youtube.com/watch?v=SlPhMPnQ58k,
매일 그대와,아이유,neutral,https://www.youtube.com/watch?v=N_E6Jnt4zss,
"A Whole New World (From ""Aladdin""/Soundtrack Version)","Mena Massoud, Naomi Scott",neutral,https://www.youtube.com/watch?v=eitDnP0_83k,
"When Will My Life Begin? (From ""Tangled"" / Soundtrack Version)",Mandy Moore,neutral,https://www.youtube.com/watch?v=kRXmAIHYQR4,
Lost Stars,Adam Levine,neutral,https://www.youtube.com/watch?v=cL4uhaQ58Rk,
가을 아침,아이유,neutral,https://www.youtube.com/watch?v=ZDoH5dQ58ps,
Mean It,"Lauv, LANY",neutral,https://www.youtube.com/watch?v=c_10qS7amjk,
13,LANY,neutral,https://www.youtube.com/watch?v=NDWJWILEA7o,
Feelings,Lauv,neutral,https://www.youtube.com/watch?v=2k5w6eTxGXk,
Leave Before You Love Me,"Marshmello, Jonas Brothers",neutral,https://www.youtube.com/watch?v=hmUyEDG7Jy0,
hungover sunday,Christian French,neutral,https://www.youtube.com/watch?v=IAKnsmThRNU,
I Ain't Worried,OneRepublic,neutral,https://www.youtube.com/watch?v=mNEUkkoUoIA,
Peaches (Feat. Daniel Caesar & Giveon),Justin Bieber,neutral,https://www.youtube.com/watch?v=tQ0yjYUFKAE,
Call Me When It's Over,James Smith,neutral,https://www.youtube.com/watch?v=IIAvd-oOPmY,
서울의 잠 못 이루는 밤 (Feat. 이수현),10CM,neutral,https://www.youtube.com/watch?v=KK-ffKikwBw,
Fallin',윤현상,neutral,https://www.youtube.com/watch?v=OJrIoRmbuRk,
Raye,John Splithoff,neutral,https://www.youtube.com/watch?v=tUo-_fmU9VU,
Honesty,Pink Sweat$,neutral,https://www.youtube.com/watch?v=-Y9VtoPvtuM,
4 Walls,f(x),neutral,https://www.youtube.com/watch?v=4j7Umwfx60Q,
미행 (그림자: Shadow),f(x),neutral,https://www.youtube.com/watch?v=5LrLW-T7D-w,
광화문에서 (At Gwanghwamun),규현 (KYUHYUN),neutral,https://www.youtube.com/watch?v=GAdFpZHTh1I,
화려하지 않은 고백,규현 (KYUHYUN),neutral,https://www.youtube.com/watch?v=ftQF5AbDMLM,
The Simple Things,Michael Carreon,neutral,https://www.youtube.com/watch?v=Fb1-Diyzvtw,
Everlasting,Albert Posis,neutral,https://www.youtube.com/watch?v=uiKEh5q3Pn4,
April 25th,Kadeem Tyrell,neutral,https://www.youtube.com/watch?v=cSgFrAH7I_U,
Manila,Young Cocoa,neutral,https://www.youtube.com/watch?v=GWRgDDuHcCo,
FOMO,Sylo Nozra,neutral,https://www.youtube.com/watch?v=yXZFkuub99s,
The Most Beautiful Thing,Bruno Major,neutral,https://www.youtube.com/watch?v=1nml-_YE2OU,
Stuck with U,"Ariana Grande, Justin Bieber",neutral,https://www.youtube.com/watch?v=h2jvHynuMjI,
drunk,keshi,neutral,https://www.youtube.com/watch?v=pbNs7tAUFkk,
Too Much To H8,Paige,neutral,https://www.youtube.com/watch?v=uL3X93n1_GU,
Grand Plan,Dan Croll,neutral,https://www.youtube.com/watch?v=8FTAf5nqPKU,
Stranger,폴킴,neutral,https://www.youtube.com/watch?v=i6WI6etoaFQ,
My Dear Love,수지 (Suzy),neutral,https://www.youtube.com/watch?v=RUUI0PilSiE,
짙어져,멜로망스,neutral,https://www.youtube.com/watch?v=4SFBvyGFV48,
가을속에서,"화사 (Hwa Sa), WOOGIE",neutral,https://www.youtube.com/watch?v=OJvO1DsP0hA,
"반짝 빛나던, 나의 2006년",적재,neutral,https://www.youtube.com/watch?v=2P68SKn0aSQ,
아직 너의 시간에 살아,이수현,neutral,https://www.youtube.com/watch?v=wmedbo9Z27Q,
가을 우체국 앞에서,김대명,neutral,https://www.youtube.com/watch?v=cCyJNklLauw,
너에게,성시경,neutral,https://www.youtube.com/watch?v=_kr3bOs5s8U,
"다정하게, 안녕히",성시경,neutral,https://www.youtube.com/watch?v=dN0FXOgQFKw,
Holy (Feat. Chance The Rapper),Justin Bieber,neutral,https://www.youtube.com/watch?v=pvPsJFRGleA,
Beautiful,Crush,neutral,https://www.youtube.com/watch?v=W0cs6ciCt_k,
십이월 이십오일의 고백,정승환,neutral,https://www.youtube.com/watch?v=eH6aQDDa0iU,
겨울아이,수지 (Suzy),neutral,https://www.youtube.com/watch?v=6YqL69Er0DQ,
하늘바라기 (Feat. 하림),정은지,neutral,https://www.youtube.com/watch?v=nzDO6tAB6ng,
별 보러 가자,적재,neutral,https://www.youtube.com/watch?v=TlaGDYbxnJk,
For The Night,Grey,neutral,https://www.youtube.com/watch?v=vJp-w7gU2ps,
